source__target,mouse,marmoset,rhesus,human
FRO_Precentral__TEM_Superior,1.674925007,1.64357759,1.731351098,1.877906038
INS_Posterior__BG_Pallidum,1.682860864,1.313571193,1.674925007,1.189332534
OLF_Piriform__FRO_Prefrontal,1.690837424,1.425873141,0.993319083,1.094999442
INS_Posterior__OCC_Medial,1.698855255,1.651356118,1.89615694,1.398823996
FRO_Premotor__TEM_Medial,1.70691494,1.971607495,1.850957089,1.756185989
CIN_Posterior__TEM_Superior,1.715017071,1.412297657,1.824499897,2.486342236
TEM_Medial__BG_CaudoPutamen,1.723162251,1.682860864,1.923979446,2.020927154
THL_Hypothalamus__THL_Thalamus,1.731351098,1.112382887,1.250490298,1.952361327
FRO_Prefrontal__OCC_Medial,1.73958424,2.192069512,2.041162738,2.203540027
CIN_Anterior__TEM_Amygdala,1.747862319,1.715017071,1.313571193,2.061704406
THL_Thalamus__INS_Posterior,1.756185989,1.798512109,2.336985436,2.262472792
OCC_Lateral__TEM_Superior,1.76455592,2.020927154,1.723162251,2.349843876
INS_Posterior__FRO_Premotor,1.772972793,1.635837074,1.582676282,1.026738728
TEM_Hippocampus__CIN_Posterior,1.781437306,1.76455592,1.64357759,1.70691494
FRO_Prefrontal__TEM_Amygdala,1.789950169,1.597687221,1.667029295,1.481242943
BG_CaudoPutamen__THL_Hypothalamus,1.798512109,1.756185989,1.772972793,1.538450418
THL_Thalamus__TEM_Amygdala,1.807123869,1.73958424,1.789950169,1.824499897
CIN_Anterior__TEM_Medial,1.815786207,2.25046799,1.412297657,1.991124117
FRO_Precentral__TEM_Amygdala,1.824499897,1.453339347,1.715017071,1.523966228
TEM_Superior__OCC_Medial,1.833265732,1.275480015,1.94283681,3.173252009
TEM_Amygdala__BG_Pallidum,1.84208452,1.495365476,1.690837424,1.516770658
TEM_Medial__TEM_Amygdala,1.850957089,1.365570061,1.991124117,1.339391155
